University Name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment
Seattle University,Washington,WA,Private,Private,4 Year,12288,44610,56898,44610,60600,113700,41,215,612,43,1011,457,4894,7273
Seton Hall University,New Jersey,NJ,Private,Private,4 Year,15800,42470,58270,42470,57100,103800,10,1098,1364,30,688,189,6248,9627
Shenandoah University,Virginia,VA,Private,Private,4 Year,10370,32530,42900,32530,48700,86600,53,411,182,12,269,0,2766,3693
Shepherd University,West Virginia,WV,Public,Public,4 Year,10500,7548,18048,18048,47100,87100,26,321,111,3,74,35,3471,4041
Shorter University,Georgia,GA,Private,Private,4 Year,9400,22370,31770,22370,45600,79900,8,356,53,2,13,28,1106,1566
Sierra Nevada College,Nevada,NV,Private,Private,4 Year,13357,34241,47598,34241,54000,95500,31,41,33,10,19,3,902,1039
Smith College,Massachusetts,MA,Private,Private,4 Year,17520,52404,69924,52404,52700,98200,5,149,276,2,348,128,2081,2989
South Carolina State University,South Carolina,SC,Public,Public,4 Year,9890,11060,20950,21750,44500,80800,4,3128,18,1,22,1,157,3331
South Dakota School of Mines and Technology,South Dakota,SD,Public,Public,4 Year,8440,9779,18219,14021,66500,118500,50,50,110,5,44,96,2443,2798
South Dakota State University,South Dakota,SD,Public,Public,4 Year,7896,8764,16660,12128,50500,91900,127,255,241,13,140,229,11538,12543
Southeast Missouri State University,Missouri,MO,Public,Public,4 Year,8935,7418,16353,13155,43700,79100,55,1022,189,4,118,13,10686,12087
Southeastern Louisiana University,Louisiana,LA,Public,Public,4 Year,8420,8165,16585,20643,46700,83900,35,2148,893,14,128,757,10512,14487
Southeastern Oklahoma State University,Oklahoma,OK,Public,Public,4 Year,6970,6750,13720,15390,45000,80500,698,208,154,7,37,522,2252,3878
Southern Adventist University,Tennessee,TN,Private,Private,4 Year,6940,21950,28890,21950,47500,84000,13,380,604,19,228,105,1826,3175
Southern Connecticut State University,Connecticut,CT,Public,Public,4 Year,12860,10875,23735,22115,48500,83600,19,1539,1114,2,271,230,7650,10825
Southern Methodist University,Texas,TX,Private,Private,4 Year,16845,54493,71338,54493,59700,110400,31,669,1172,15,671,291,8423,11272
Southern Nazarene University,Oklahoma,OK,Private,Private,4 Year,8496,25188,33684,25188,46100,81000,93,318,134,8,55,70,1576,2254
Southern New Hampshire University,New Hampshire,NH,Private,Private,4 Year,13120,31136,44256,31136,47400,83400,152,2373,1009,33,337,60,39310,43274
Southern Oregon University,Oregon,OR,Public,Public,4 Year,13199,9654,22853,25584,46000,81200,71,116,477,26,124,274,4866,5954
Southern University at New Orleans,Louisiana,LA,Public,Public,4 Year,9040,9371,18411,11160,40100,71000,3,1771,13,0,10,0,306,2103
Southern Vermont College,Vermont,VT,Private,Private,4 Year,11000,25511,36511,25511,42900,78700,4,59,43,1,3,7,340,457
Southern Wesleyan University,South Carolina,SC,Private,Private,4 Year,9030,25476,34506,25476,42900,74600,5,483,56,1,10,26,1197,1778
Southwestern Oklahoma State University,Oklahoma,OK,Public,Public,4 Year,5830,7035,12865,13935,47900,90800,210,261,350,6,145,363,3659,4994
Spalding University,Kentucky,KY,Private,Private,4 Year,7600,24500,32100,24500,44800,79200,3,425,66,5,32,57,1723,2311
Spelman College,Georgia,GA,Private,Private,4 Year,13865,29314,43179,29314,50200,85400,3,1855,7,0,2,58,210,2135
Spring Hill College,Alabama,AL,Private,Private,4 Year,13462,39464,52926,39464,46600,89100,10,210,77,1,16,45,1017,1376
St. Mary's University,Texas,TX,Private,Private,4 Year,10270,30650,40920,30650,52900,95300,23,142,2060,10,95,8,1374,3712
Stanford University,California,CA,Private,Private,4 Year,15763,51354,67117,51354,79000,145200,98,633,1749,30,2630,1142,10681,16963
Stephens College,Missouri,MO,Private,Private,4 Year,10632,30950,41582,30950,42800,77200,3,117,31,4,12,48,647,862
Stetson University,Florida,FL,Private,Private,4 Year,13052,46030,59082,46030,47000,86000,16,288,564,1,94,124,3050,4137
Stevens Institute of Technology,New Jersey,NJ,Private,Private,4 Year,15244,52202,67446,52202,75100,139900,5,96,321,0,436,0,5267,6125
Stevenson University,Maryland,MD,Private,Private,4 Year,13130,36182,49312,36182,50400,91600,5,1267,194,8,133,114,2601,4322
Stockton University,New Jersey,NJ,Public,Public,4 Year,12282,13739,26021,20866,47400,85800,10,532,848,12,439,239,6490,8570
Stonehill College,Massachusetts,MA,Private,Private,4 Year,16000,42746,58746,42746,55900,103200,1,99,103,1,51,41,1988,2284
Swarthmore College,Pennsylvania,PA,Private,Private,4 Year,15474,52588,68062,52588,67500,123200,2,90,206,1,252,120,871,1542
Tabor College,Kansas,KS,Private,Private,4 Year,9850,28245,38095,28245,43300,77500,3,64,83,2,5,25,584,766
Taylor University,Indiana,IN,Private,Private,4 Year,9614,34114,43728,34114,48700,90600,6,55,63,7,63,15,1937,2146
Tennessee State University,Tennessee,TN,Public,Public,4 Year,7806,8008,15814,21364,47200,78400,14,5750,112,0,91,276,2784,9027
Tennessee Technological University,Tennessee,TN,Public,Public,4 Year,9736,9103,18839,25759,53100,95100,17,416,252,4,147,250,10253,11339
Texas Christian University,Texas,TX,Private,Private,4 Year,12804,46950,59754,46950,56000,98700,81,479,1060,29,277,55,8052,10033
Texas Tech University,Texas,TX,Public,Public,4 Year,9530,11045,20575,23495,56800,106500,113,2011,7075,39,850,1053,24017,35158
Thomas More College,Kentucky,KY,Private,Private,4 Year,7950,31120,39070,31120,50000,90900,2,109,23,1,12,32,1476,1655
Thomas More College of Liberal Arts,New Hampshire,NH,Private,Private,4 Year,9700,21600,31300,21600,48900,88300,0,1,2,0,2,0,88,93
Tougaloo College,Mississippi,MS,Private,Private,4 Year,6643,10790,17433,10790,36900,66400,1,887,4,0,0,0,8,900
Towson University,Maryland,MD,Public,Public,4 Year,13034,9940,22974,23208,51200,91200,33,3456,1196,26,1049,813,15712,22285
Transylvania University,Kentucky,KY,Private,Private,4 Year,10460,38750,49210,38750,47900,85600,1,31,46,1,20,30,885,1014
Trevecca Nazarene University,Tennessee,TN,Private,Private,4 Year,8400,25598,33998,25598,45300,81700,9,372,71,3,27,73,2051,2606
Trine University,Indiana,IN,Private,Private,4 Year,10810,32175,42985,32175,55100,100300,12,86,148,4,48,74,2459,2831
Trinity University,Texas,TX,Private,Private,4 Year,13464,42976,56440,42976,54900,102900,7,99,454,1,142,108,1621,2432
Troy University,Alabama,AL,Public,Public,4 Year,8185,12460,20645,22875,44500,81500,143,6840,666,19,140,486,10747,19041
Truman State University,Missouri,MO,Public,Public,4 Year,8780,7729,16509,14581,47900,85800,8,218,173,6,115,157,5571,6248
Tufts University,Massachusetts,MA,Private,Private,4 Year,14560,56382,70942,56382,65200,118100,12,368,594,4,1353,409,8167,10907
Tuskegee University,Alabama,AL,Private,Private,4 Year,9650,22170,31820,22170,54500,93500,2,2345,32,0,26,0,698,3103
University of Alabama at Birmingham,Alabama,AL,Public,Public,4 Year,6400,10710,17110,24630,48600,87200,46,3943,496,14,931,563,12705,18698
University of Arizona,Arizona,AZ,Public,Public,4 Year,12550,12487,25037,36386,56100,101000,517,1402,9405,95,2392,1608,26817,42236
University of Arkansas at Little Rock,Arkansas,AR,Public,Public,4 Year,8930,8966,17896,21206,45600,80800,44,2625,713,0,260,823,7180,11645
University of Arkansas at Monticello,Arkansas,AR,Public,Public,4 Year,6824,7696,14520,13546,43500,78300,17,1051,130,5,23,72,2556,3854
University of Arkansas at Pine Bluff,Arkansas,AR,Public,Public,4 Year,7881,7842,15723,14094,40500,70500,3,2295,40,0,15,2,158,2513
University of Bridgeport,Connecticut,CT,Private,Private,4 Year,13860,32850,46710,32850,49900,93600,27,1315,591,11,170,91,2986,5191
University of Central Arkansas,Arkansas,AR,Public,Public,4 Year,6854,8751,15605,15274,44900,79800,55,2011,452,11,185,352,8632,11698
University of Central Florida,Florida,FL,Public,Public,4 Year,9617,6368,15985,22467,49700,88600,120,6400,13108,129,3343,1841,35826,60767
University of Central Missouri,Missouri,MO,Public,Public,4 Year,8766,7673,16439,14442,46900,83300,26,886,322,10,124,266,11745,13379
University of Central Oklahoma,Oklahoma,OK,Public,Public,4 Year,7970,7488,15458,18376,45300,82900,638,1552,1257,28,510,1257,11598,16840
University of Charleston,West Virginia,WV,Private,Private,4 Year,9180,30900,40080,30900,44600,81900,19,209,54,2,57,21,1749,2111
University of Chicago,Illinois,IL,Private,Private,4 Year,16350,58230,74580,58230,64000,114200,35,634,928,6,1923,336,11235,15097
University of Connecticut,Connecticut,CT,Public,Public,4 Year,12874,15730,28604,38098,59100,105200,41,1353,1928,16,2320,597,20286,26541
University of Dallas,Texas,TX,Private,Private,4 Year,12400,40652,53052,40652,53000,96400,8,207,386,4,175,68,1700,2548
University of Dayton,Ohio,OH,Private,Private,4 Year,13580,42900,56480,42900,57400,105000,9,417,310,3,156,126,10322,11343
University of Delaware,Delaware,DE,Public,Public,4 Year,12862,13680,26542,34310,58600,105400,17,1232,1461,21,1018,576,18355,22680
University of Denver,Colorado,CO,Private,Private,4 Year,13005,50556,63561,50556,55700,105100,52,406,1023,14,390,328,9596,11809
University of Detroit Mercy,Michigan,MI,Private,Private,4 Year,9496,28000,37496,28000,51800,92800,17,504,133,11,242,117,3921,4945
University of Dubuque,Iowa,IA,Private,Private,4 Year,9930,34110,44040,34110,44200,79700,11,226,142,4,41,60,1637,2121
University of Evansville,Indiana,IN,Private,Private,4 Year,12460,36416,48876,36416,50300,89900,4,72,71,0,38,49,2333,2567
University of Florida,Florida,FL,Public,Public,4 Year,10120,6381,16501,28658,55800,102800,137,3151,8127,240,3501,1108,33195,49459
University of Georgia,Georgia,GA,Public,Public,4 Year,10038,11830,21868,30404,54400,100700,37,2805,1637,37,2859,1052,26770,35197
University of Hartford,Connecticut,CT,Private,Private,4 Year,12476,40694,53170,40694,55200,101600,16,865,612,5,232,146,4941,6817
University of Hawaii at Hilo,Hawaii,HI,Public,Public,4 Year,11406,7720,19126,20680,44000,77200,20,46,457,391,806,1129,1075,3924
University of Houston,Texas,TX,Public,Public,4 Year,10270,12506,22776,27956,56000,103900,47,4173,10994,97,8118,1218,16267,40914
University of Idaho,Idaho,ID,Public,Public,4 Year,8880,7864,16744,25500,52300,97700,113,142,925,22,161,376,9963,11702
University of Illinois at Chicago,Illinois,IL,Public,Public,4 Year,12074,13764,25838,26980,56300,103800,29,2194,5435,63,5229,618,14401,27969
University of Illinois at Urbana-Champaign,Illinois,IL,Public,Public,4 Year,11308,15094,26402,31664,62600,115300,39,2186,3384,47,6121,1049,32314,45140
University of Indianapolis,Indiana,IN,Private,Private,4 Year,10288,29688,39976,29688,47300,84500,8,456,191,8,85,127,4567,5442
University of Iowa,Iowa,IA,Public,Public,4 Year,11172,9267,20439,31233,54100,99400,50,853,1730,26,1056,630,25625,29970
University of Jamestown,North Dakota,ND,Private,Private,4 Year,7570,21976,29546,21976,47600,85400,15,40,48,3,11,0,853,970
University of Kansas,Kansas,KS,Public,Public,4 Year,10350,11148,21498,27358,53000,98600,142,1133,1554,22,1081,1096,22152,27180
University of Kentucky,Kentucky,KY,Public,Public,4 Year,12982,12245,25227,29099,51700,96400,55,1989,1031,26,807,770,24525,29203
University of Louisiana at Lafayette,Louisiana,LA,Public,Public,4 Year,8516,10616,19132,24344,48200,92500,80,3377,547,15,373,277,12526,17195
University of Louisiana at Monroe,Louisiana,LA,Public,Public,4 Year,7850,8734,16584,20834,48500,92500,29,1936,176,4,197,176,5999,8517
University of Louisville,Kentucky,KY,Public,Public,4 Year,9226,11656,20882,27278,49500,87600,34,2247,813,14,749,784,16920,21561
University of Maine,Maine,ME,Public,Public,4 Year,10418,11170,21588,30970,52000,95000,133,212,241,2,144,261,10293,11286
University of Maine at Farmington,Maine,ME,Public,Public,4 Year,9726,9666,19392,19778,41100,71700,13,35,26,2,14,40,1830,1960
University of Maine at Fort Kent,Maine,ME,Public,Public,4 Year,8220,8115,16335,12315,43500,76300,10,34,19,2,6,25,1231,1327
University of Maine at Machias,Maine,ME,Public,Public,4 Year,8486,7840,16326,15100,37100,66200,22,26,24,0,5,10,723,810
University of Maine at Presque Isle,Maine,ME,Public,Public,4 Year,8406,8035,16441,12235,39000,70700,28,12,13,0,4,28,1053,1138
University of Mary,North Dakota,ND,Private,Private,4 Year,6890,18720,25610,18720,46400,79100,49,77,84,5,32,43,2519,2809
University of Memphis,Tennessee,TN,Public,Public,4 Year,9975,9701,19676,21413,47200,85800,53,7135,757,26,625,630,11833,21059
University of Miami,Florida,FL,Private,Private,4 Year,14108,50226,64334,50226,56200,99600,23,1169,3526,22,953,408,10573,16674
University of Mississippi,Mississippi,MS,Public,Public,4 Year,10696,8660,19356,24614,48500,89100,64,3178,610,23,429,471,17728,22503
University of Mobile,Alabama,AL,Private,Private,4 Year,9600,22820,32420,22820,40600,74100,26,380,23,0,10,34,1127,1600
University of Montevallo,Alabama,AL,Public,Public,4 Year,9330,12760,22090,25780,38900,70700,18,434,93,0,19,68,2438,3070
University of Mount Union,Ohio,OH,Private,Private,4 Year,10200,31260,41460,31260,48300,88500,4,122,41,0,15,85,1995,2262
University of New England,Maine,ME,Private,Private,4 Year,13990,37620,51610,37620,50100,91500,27,387,82,15,301,96,5521,6429
University of New Haven,Connecticut,CT,Private,Private,4 Year,15900,39270,55170,39270,52100,94800,22,602,578,12,169,92,5336,6811
University of New Orleans,Louisiana,LA,Public,Public,4 Year,10575,9054,19629,13890,49900,91600,33,1375,840,3,656,289,6038,9234
University of North Alabama,Alabama,AL,Public,Public,4 Year,9200,10370,19570,18680,43000,75600,62,869,168,5,131,148,5458,6841
University of North Carolina at Chapel Hill,North Carolina,NC,Public,Public,4 Year,11190,8987,20177,35170,55000,100800,133,2304,1895,70,2410,1326,20997,29135
University of North Carolina at Charlotte,North Carolina,NC,Public,Public,4 Year,11100,7044,18144,20478,52500,92600,81,4410,2000,30,1343,856,18518,27238
University of North Carolina School of the Arts,North Carolina,NC,Public,Public,4 Year,9021,9358,18379,25501,46400,82400,5,72,68,2,12,44,755,958
University of North Dakota,North Dakota,ND,Public,Public,4 Year,8974,8695,17669,20759,53800,96000,253,344,420,15,207,404,13263,14906
University of North Florida,Florida,FL,Public,Public,4 Year,9976,6394,16370,20112,48800,86600,20,1553,1481,12,674,779,11465,15984
University of North Georgia,Georgia,GA,Public,Public,4 Year,7876,7336,15212,21148,47300,85600,35,684,1435,17,437,417,13039,16064
University of Northern Colorado,Colorado,CO,Public,Public,4 Year,11204,9786,20990,21474,47700,87100,38,437,1772,22,188,377,9216,12050
University of Northern Iowa,Iowa,IA,Public,Public,4 Year,8948,8938,17886,19480,47100,85300,25,339,377,7,108,210,10862,11928
University of Notre Dame,Indiana,IN,Private,Private,4 Year,15410,53391,68801,53391,67000,130500,21,376,1139,5,573,446,9619,12179
University of Oregon,Oregon,OR,Public,Public,4 Year,12963,11898,24861,35478,51800,95800,162,482,2042,99,1280,1328,18703,24096
University of Pennsylvania,Pennsylvania,PA,Private,Private,4 Year,15616,55584,71200,55584,72800,133900,21,1483,1799,8,3717,777,17001,24806
University of Pikeville,Kentucky,KY,Private,Private,4 Year,7800,20950,28750,20950,39000,70700,11,167,45,2,25,0,2208,2458
University of Portland,Oregon,OR,Private,Private,4 Year,13450,45904,59354,45904,58500,104900,7,41,408,63,404,337,2883,4143
University of Puget Sound,Washington,WA,Private,Private,4 Year,12540,49776,62316,49776,54200,101300,4,29,191,1,189,248,2164,2826
University of Rhode Island,Rhode Island,RI,Public,Public,4 Year,12950,14138,27088,30862,54500,99700,44,803,1288,6,534,394,13502,16571
University of Richmond,Virginia,VA,Private,Private,4 Year,12250,52610,64860,52610,59800,107500,13,345,258,2,215,137,3212,4182
University of Rochester,New York,NY,Private,Private,4 Year,15938,53926,69864,53926,61100,112700,28,491,533,5,915,241,8847,11060
University of Saint Joseph,Connecticut,CT,Private,Private,4 Year,11428,39173,50601,39173,49900,88800,2,252,223,3,116,32,1937,2565
University of San Diego,California,CA,Private,Private,4 Year,12980,49358,62338,49358,58900,109400,42,291,1505,30,641,408,5432,8349
University of San Francisco,California,CA,Private,Private,4 Year,14830,48066,62896,48066,60600,109900,26,464,1919,69,1881,635,5695,10689
University of Science and Arts of Oklahoma,Oklahoma,OK,Public,Public,4 Year,6350,7215,13565,17565,37300,67400,102,37,56,0,9,55,645,904
University of Scranton,Pennsylvania,PA,Private,Private,4 Year,15182,44532,59714,44532,56400,99700,6,155,388,2,149,117,4772,5589
University of Sioux Falls,South Dakota,SD,Private,Private,4 Year,7350,18280,25630,18280,44400,78200,4,46,17,2,8,48,1294,1419
University of South Alabama,Alabama,AL,Public,Public,4 Year,7620,9870,17490,19740,47700,86400,100,3285,402,33,539,325,11121,15805
University of South Dakota,South Dakota,SD,Public,Public,4 Year,8216,9061,17277,12425,47500,87900,168,227,232,51,151,232,9000,10061
University of Southern California,California,CA,Private,Private,4 Year,15395,56225,71620,56225,64500,120600,73,2238,5286,104,7696,1380,25676,42453
University of Southern Maine,Maine,ME,Public,Public,4 Year,9450,9520,18970,22780,46900,81300,76,224,147,7,164,169,7641,8428
University of Southern Mississippi,Mississippi,MS,Public,Public,4 Year,9857,8734,18591,10734,45100,83900,48,4033,457,14,172,316,9752,14792
University of the Cumberlands,Kentucky,KY,Private,Private,4 Year,9000,23000,32000,23000,39800,73800,18,310,95,2,30,19,5262,5736
University of the Ozarks,Arkansas,AR,Private,Private,4 Year,7400,24230,31630,24230,42300,74500,4,33,86,0,1,22,441,587
University of Toledo,Ohio,OH,Public,Public,4 Year,11434,9795,21229,19133,51800,92500,36,2455,836,15,594,480,16210,20626
University of Tulsa,Oklahoma,OK,Private,Private,4 Year,11116,41509,52625,41509,58700,107200,240,183,189,4,128,68,3870,4682
University of Utah,Utah,UT,Public,Public,4 Year,10262,9222,19484,29215,54800,102600,126,401,2718,171,1590,989,25520,31515
University of Vermont,Vermont,VT,Public,Public,4 Year,12462,18276,30738,42516,53200,99400,32,166,533,4,388,331,11402,12856
University of West Alabama,Alabama,AL,Public,Public,4 Year,8116,10040,18156,18490,42700,76100,18,1769,59,2,6,39,2096,3989
University of West Georgia,Georgia,GA,Public,Public,4 Year,10918,7292,18210,20774,46700,82700,17,4286,497,14,131,358,6903,12206
University of Wisconsin-Parkside,Wisconsin,WI,Public,Public,4 Year,8026,7529,15555,15518,46000,81400,9,384,560,9,135,165,3281,4543
University of Wisconsin-Stout,Wisconsin,WI,Public,Public,4 Year,6924,9457,16381,17423,50400,89500,28,156,220,14,307,155,8514,9394
University of Wyoming,Wyoming,WY,Public,Public,4 Year,10320,5400,15720,17490,52400,98800,72,121,749,33,171,305,11369,12820
Valdosta State University,Georgia,GA,Public,Public,4 Year,8110,7476,15586,20958,43400,81000,33,3858,485,14,129,341,6703,11563
Valley City State University,North Dakota,ND,Public,Public,4 Year,6446,7626,14072,17166,39900,68600,12,43,58,2,7,37,1219,1378
Valparaiso University,Indiana,IN,Private,Private,4 Year,11860,40260,52120,40260,53300,98000,15,283,329,1,87,91,3701,4507
Vanderbilt University,Tennessee,TN,Private,Private,4 Year,16234,49816,66050,49816,65400,119100,35,932,810,12,966,456,9475,12686
Vermont Technical College,Vermont,VT,Public,Public,4 Year,10598,15108,25706,27780,52400,93900,11,23,23,0,18,36,1431,1542
Villanova University,Pennsylvania,PA,Private,Private,4 Year,14020,53308,67328,53308,65100,119500,12,580,699,9,666,209,8560,10735
Virginia Commonwealth University,Virginia,VA,Public,Public,4 Year,10428,14490,24918,35138,49900,88200,84,4798,2002,51,3615,1282,19016,30848
Virginia Military Institute,Virginia,VA,Public,Public,4 Year,9428,18862,28290,45706,65900,120600,6,86,82,13,75,28,1410,1700
Virginia State University,Virginia,VA,Public,Public,4 Year,11208,9056,20264,19576,44900,81800,15,4283,99,1,23,0,604,5025
Viterbo University,Wisconsin,WI,Private,Private,4 Year,9060,27970,37030,27970,46800,81900,9,46,61,1,40,45,2602,2804
Wabash College,Indiana,IN,Private,Private,4 Year,10050,43450,53500,43450,62200,114400,5,55,59,1,12,27,767,926
Wake Forest University,North Carolina,NC,Private,Private,4 Year,16032,53322,69354,53322,60700,114800,21,647,433,40,331,166,6150,7788
Walla Walla University,Washington,WA,Private,Private,4 Year,4275,28035,32310,28035,53700,97800,22,55,234,8,122,5,1441,1887
Wartburg College,Iowa,IA,Private,Private,4 Year,9996,41280,51276,41280,49300,88000,1,80,42,1,20,36,1481,1661
Washburn University,Kansas,KS,Public,Public,4 Year,8237,8870,17107,19940,47000,83000,39,327,465,6,76,220,5589,6722
Washington State University,Washington,WA,Public,Public,4 Year,11398,11581,22979,26365,55900,103700,169,896,3077,100,1497,1863,21084,28686
Wayne State College,Nebraska,NE,Public,Public,4 Year,7668,6989,14657,12299,40600,73400,25,95,229,2,19,55,3045,3470
Wayne State University,Michigan,MI,Public,Public,4 Year,10427,13347,23774,28241,50800,91700,82,4881,983,35,2057,689,18851,27578
Webb Institute,New York,NY,Private,Private,4 Year,15050,50175,65225,50175,80800,141800,0,0,0,0,8,4,78,90
Weber State University,Utah,UT,Public,Public,4 Year,6279,5831,12110,16585,53900,94000,95,320,2430,98,317,425,22269,25954
Webster University,Missouri,MO,Private,Private,4 Year,11050,27900,38950,27900,46500,83500,75,6217,1159,31,423,314,8550,16769
Wellesley College,Massachusetts,MA,Private,Private,4 Year,16468,53732,70200,53732,58900,106200,1,128,205,0,538,138,1313,2323
Wentworth Institute of Technology,Massachusetts,MA,Private,Private,4 Year,14190,33950,48140,33950,62700,112700,10,212,155,0,285,247,3649,4558
West Liberty University,West Virginia,WV,Public,Public,4 Year,9406,7730,17136,15670,42500,77000,7,120,21,1,19,31,2495,2694
West Virginia State University,West Virginia,WV,Public,Public,4 Year,11892,8167,20059,16072,41800,76000,14,277,14,0,10,0,2569,2884
West Virginia University,West Virginia,WV,Public,Public,4 Year,10918,8856,19774,24950,54400,99900,42,1232,935,25,545,867,25529,29175
West Virginia University Institute of Technology,West Virginia,WV,Public,Public,4 Year,11390,7464,18854,18648,57100,103700,5,83,54,0,18,32,1069,1261
West Virginia Wesleyan College,West Virginia,WV,Private,Private,4 Year,8856,31640,40496,31640,47000,85200,5,122,27,3,3,43,1308,1511
Western Carolina University,North Carolina,NC,Public,Public,4 Year,9682,4220,13902,8220,44700,77700,87,669,496,12,134,320,8664,10382
Western Connecticut State University,Connecticut,CT,Public,Public,4 Year,13072,10819,23891,22059,51700,88100,13,668,900,10,200,67,4094,5952
Western Kentucky University,Kentucky,KY,Public,Public,4 Year,8343,10602,18945,26496,45500,83100,46,1938,515,18,210,444,17000,20171
Western Michigan University,Michigan,MI,Public,Public,4 Year,10143,12483,22626,15373,50900,92200,106,2634,1117,28,388,696,18945,23914
Western New England University,Massachusetts,MA,Private,Private,4 Year,13590,36804,50394,36804,56400,103000,10,234,273,2,147,42,3214,3922
Western New Mexico University,New Mexico,NM,Public,Public,4 Year,9136,6824,15960,15231,41700,76700,100,145,1442,5,46,17,1802,3557
Western Oregon University,Oregon,OR,Public,Public,4 Year,10415,9540,19955,26415,44500,79300,122,190,469,146,201,16,4905,6049
Western State Colorado University,Colorado,CO,Public,Public,4 Year,9635,10114,19749,21586,44800,81500,15,59,237,14,21,74,2164,2584
Western Washington University,Washington,WA,Public,Public,4 Year,11466,8132,19598,23544,55000,99300,65,224,1095,28,971,1164,11513,15060
Wheeling Jesuit University,West Virginia,WV,Private,Private,4 Year,9900,29290,39190,29290,44800,83400,4,70,31,2,19,25,1424,1575
Whitman College,Washington,WA,Private,Private,4 Year,13174,51764,64938,51764,54600,102600,5,14,117,0,80,85,1197,1498
Whitworth University,Washington,WA,Private,Private,4 Year,11496,43640,55136,43640,49900,88800,19,51,205,12,90,133,2144,2654
Wichita State University,Kansas,KS,Public,Public,4 Year,11252,8271,19523,17452,48700,87300,118,829,1289,14,940,435,11370,14995
Widener University,Pennsylvania,PA,Private,Private,4 Year,14446,45948,60394,45948,55700,100100,17,731,230,6,173,117,3638,4912
Willamette University,Oregon,OR,Private,Private,4 Year,12440,50074,62514,50074,52200,97700,33,53,270,9,189,198,2028,2780
William Carey University,Mississippi,MS,Private,Private,4 Year,6810,12600,19410,12600,41100,71800,17,1096,59,0,119,0,2645,3936
William Jewell College,Missouri,MO,Private,Private,4 Year,9930,34400,44330,34400,51400,94500,4,59,36,2,10,60,889,1060
William Paterson University of New Jersey,New Jersey,NJ,Public,Public,4 Year,11445,13060,24505,21260,50500,90200,11,1483,2740,25,704,250,5835,11048
William Penn University,Iowa,IA,Private,Private,4 Year,6952,25600,32552,25600,43900,78300,10,290,135,6,24,29,1297,1791
Williams College,Massachusetts,MA,Private,Private,4 Year,14500,55450,69950,55450,67500,127500,3,147,243,0,223,146,1364,2126
Winona State University,Minnesota,MN,Public,Public,4 Year,9010,9425,18435,15348,49700,86800,9,199,208,5,161,176,7926,8684
Winthrop University,South Carolina,SC,Public,Public,4 Year,9312,15590,24902,29846,44300,79700,23,1650,217,7,71,147,3909,6024
Wisconsin Lutheran College,Wisconsin,WI,Private,Private,4 Year,10190,29725,39915,29725,46200,82500,7,63,56,1,13,26,1013,1179
Wittenberg University,Ohio,OH,Private,Private,4 Year,10356,39500,49856,39500,52400,105400,3,127,62,1,24,95,1652,1964
Wofford College,South Carolina,SC,Private,Private,4 Year,12685,43845,56530,43845,51300,96600,3,125,54,3,47,53,1373,1658
Worcester Polytechnic Institute,Massachusetts,MA,Private,Private,4 Year,14774,50530,65304,50530,73600,135500,5,130,394,0,294,168,5390,6381
Xavier University of Louisiana,Louisiana,LA,Private,Private,4 Year,9047,24488,33535,24488,46700,88200,4,2088,77,0,384,78,345,2976
Yale University,Connecticut,CT,Private,Private,4 Year,16000,53430,69430,53430,70300,138300,49,675,939,5,1581,547,8540,12336
Yeshiva University,New York,NY,Private,Private,4 Year,12250,43500,55750,43500,63500,112800,6,144,199,15,289,29,5666,6348
